"sel","_id","gc","length","METABAT__22-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","5116","0.5022","6324","1.9217","Eukaryota","Haptophyta","c_000001332547"
"","5117","0.5373","4733","14.0551","no-hit","no-hit","c_000001560073"
"","5118","0.5338","3063","1.6579","no-hit","no-hit","c_000000212571"
"","5119","0.5872","5434","1.3259","no-hit","no-hit","c_000002454594"
"","5120","0.5147","5912","2.874","no-hit","no-hit","c_000000244127"
"","5121","0.523","12655","8.767","Eukaryota","Haptophyta","c_000000533208"
"","5122","0.5137","4357","8.8263","no-hit","no-hit","c_000000254004"
"","5123","0.5351","7655","1.5193","no-hit","no-hit","c_000002483184"
"","5124","0.5434","3903","1.669","no-hit","no-hit","c_000003809870"
"","5125","0.5342","4541","0.8628","Eukaryota","Haptophyta","c_000001804136"
"","5126","0.569","2958","0.7397","no-hit","no-hit","c_000003808763"
"","5127","0.5647","3044","4.8972","no-hit","no-hit","c_000000446929"
"","5128","0.5528","6103","2.0316","Eukaryota","Eukaryota-undef","c_000004354550"
"","5129","0.5426","7853","1.6516","no-hit","no-hit","c_000001230340"
"","5130","0.5512","8269","2.6025","no-hit","no-hit","c_000000769723"
"","5131","0.5474","3398","1.5665","no-hit","no-hit","c_000001226891"
"","5132","0.5289","2526","0.9762","Eukaryota","Haptophyta","c_000003650899"
"","5133","0.4991","6267","5.288","no-hit","no-hit","c_000000560568"
"","5134","0.5803","8611","1.6501","Eukaryota","Haptophyta","c_000001207586"
"","5135","0.6078","3386","9.521","Eukaryota","Haptophyta","c_000000360914"
"","5136","0.5162","12848","5.3115","Eukaryota","Haptophyta","c_000001301775"
"","5137","0.5399","4153","1.1878","Eukaryota","Eukaryota-undef","c_000004544877"
"","5138","0.5566","7584","2.8312","no-hit","no-hit","c_000003736481"
"","5139","0.5144","5338","1.7799","no-hit","no-hit","c_000000282304"
"","5140","0.5534","6041","1.5042","Eukaryota","Haptophyta","c_000004074674"
"","5141","0.5208","7703","1.7065","Eukaryota","Haptophyta","c_000002436854"
"","5142","0.5021","3384","1.8815","Eukaryota","Haptophyta","c_000002652953"
"","5143","0.5199","7545","3.088","no-hit","no-hit","c_000004266271"
"","5144","0.5764","10055","1.3318","Eukaryota","Ascomycota","c_000002826696"
"","5145","0.5375","6447","1.4684","no-hit","no-hit","c_000000548164"
"","5146","0.5558","3814","2.081","Eukaryota","Haptophyta","c_000005045470"
"","5147","0.5478","3653","7.6403","Eukaryota","Haptophyta","c_000004212795"
"","5148","0.5469","7929","1.3961","no-hit","no-hit","c_000002477897"
"","5149","0.5856","6006","1.4399","Eukaryota","Haptophyta","c_000002109498"
"","5150","0.5389","10735","4.6637","no-hit","no-hit","c_000002110204"
"","5151","0.5541","3806","1.0604","Eukaryota","Haptophyta","c_000004536984"
"","5152","0.5334","2917","2.083","Eukaryota","Haptophyta","c_000005430349"
"","5153","0.5302","7461","2.0025","Eukaryota","Haptophyta","c_000001755316"
"","5154","0.512","3092","1.9512","no-hit","no-hit","c_000004860755"
"","5156","0.6222","6438","1.1859","no-hit","no-hit","c_000000050968"
"","5157","0.5334","9709","2.0415","Eukaryota","Haptophyta","c_000001150281"
"","5158","0.5457","2767","1.309","Eukaryota","Chordata","c_000002436980"
"","5159","0.5307","5214","1.8761","no-hit","no-hit","c_000000953022"
"","5160","0.5807","6993","7.5643","Eukaryota","Eukaryota-undef","c_000001161650"
"","5161","0.5309","14478","2.4468","Eukaryota","Haptophyta","c_000003115781"
"","5162","0.4972","3053","6.4795","Eukaryota","Haptophyta","c_000003516509"
"","5163","0.5455","4497","1.1897","Eukaryota","Haptophyta","c_000003149911"
"","5164","0.4931","9011","1.5026","Eukaryota","Haptophyta","c_000001894203"
"","5165","0.4996","4590","3.795","no-hit","no-hit","c_000002534896"
"","5166","0.5811","3476","2.9054","Eukaryota","Haptophyta","c_000000866415"
"","5167","0.5167","3888","2.2076","no-hit","no-hit","c_000002391440"
"","5168","0.5281","5135","5.3369","Eukaryota","Rhodophyta","c_000000626237"
"","5169","0.6012","3581","0.893","Eukaryota","Haptophyta","c_000001104405"
"","5170","0.5474","7041","5.4844","Eukaryota","Haptophyta","c_000001566413"
"","5171","0.5017","2629","2.0639","no-hit","no-hit","c_000001473477"
"","5172","0.5043","7930","3.3987","Eukaryota","Haptophyta","c_000000307000"
"","5173","0.493","3974","1.0747","no-hit","no-hit","c_000003727241"
"","5174","0.5051","9428","2.6236","Eukaryota","Haptophyta","c_000005214057"
"","5175","0.6087","2543","1.1844","no-hit","no-hit","c_000003192595"
"","5176","0.5192","5339","2.2493","no-hit","no-hit","c_000005228573"
"","5177","0.4857","6659","1.7258","Eukaryota","Haptophyta","c_000000908042"
"","5178","0.5291","4731","1.9501","no-hit","no-hit","c_000005087739"
"","5179","0.4979","2671","1.1","Eukaryota","Rhodophyta","c_000002881214"
"","5180","0.4798","4110","2.3046","no-hit","no-hit","c_000000715407"
"","5181","0.4936","2893","1.3512","no-hit","no-hit","c_000001746097"
"","5182","0.5768","7938","1.4669","Eukaryota","Haptophyta","c_000001914800"
"","5183","0.5011","5562","1.5352","no-hit","no-hit","c_000001509253"
"","5184","0.4794","7170","1.6466","no-hit","no-hit","c_000003853602"
"","5185","0.5128","4826","1.5495","no-hit","no-hit","c_000004148968"
"","5186","0.5599","3699","1.7353","no-hit","no-hit","c_000003595239"
"","5187","0.5049","3389","73.0239","no-hit","no-hit","c_000001853136"
"","5188","0.5213","6002","6.9179","Eukaryota","Cnidaria","c_000001005650"
"","5189","0.511","3716","2.1015","Eukaryota","Haptophyta","c_000002898531"
"","5190","0.5075","2936","5.0272","Eukaryota","Chordata","c_000002964418"
"","5191","0.4982","4424","3.5619","no-hit","no-hit","c_000001844119"
"","5192","0.5064","6523","1.1533","Eukaryota","Haptophyta","c_000000205784"
"","5193","0.5996","5265","1.3804","Eukaryota","Haptophyta","c_000000316627"
"","5194","0.5751","16008","1.2236","Eukaryota","Haptophyta","c_000000291141"
"","5195","0.5161","6850","4.9404","Eukaryota","Haptophyta","c_000001437433"
"","5196","0.5595","2656","1.3389","no-hit","no-hit","c_000005371366"
"","5197","0.5646","5186","1.4163","Eukaryota","Haptophyta","c_000000499494"
"","5198","0.5041","6391","1.4718","no-hit","no-hit","c_000000198362"
"","5199","0.5292","7133","1.3244","Eukaryota","Bacillariophyta","c_000003683126"
"","5200","0.4926","7221","1.8888","Eukaryota","Haptophyta","c_000000688747"
"","5201","0.5352","3972","40.4789","no-hit","no-hit","c_000003581060"
"","5202","0.5798","6228","2.0592","Eukaryota","Haptophyta","c_000002377873"
"","5203","0.5578","7135","1.3495","no-hit","no-hit","c_000003646054"
"","5204","0.5241","6119","3.1433","no-hit","no-hit","c_000001637419"
"","5205","0.4946","4507","1.6692","no-hit","no-hit","c_000002468630"
"","5206","0.5581","4503","1.5061","Eukaryota","Haptophyta","c_000000193155"
"","5207","0.5782","3184","25.2557","no-hit","no-hit","c_000002868021"
"","5208","0.5791","4635","15.381","Eukaryota","Haptophyta","c_000002968786"
"","5209","0.5372","6024","1.753","no-hit","no-hit","c_000003009316"
"","5210","0.5462","4019","21.8502","no-hit","no-hit","c_000003854186"
"","5211","0.5198","4038","1.3462","Eukaryota","Haptophyta","c_000002908284"
"","5212","0.5294","3058","1.4529","no-hit","no-hit","c_000000036511"
"","5213","0.5062","10562","2.9738","Eukaryota","Haptophyta","c_000001230117"
"","5214","0.5128","7073","1.8951","no-hit","no-hit","c_000004758394"
"","5215","0.5869","6045","1.0134","Eukaryota","Streptophyta","c_000004794330"
"","5216","0.5758","4406","1.6291","no-hit","no-hit","c_000002618146"
"","5217","0.4859","4178","1.8478","Eukaryota","Haptophyta","c_000000707002"
"","5218","0.5825","2697","2.1531","no-hit","no-hit","c_000000528629"
"","5219","0.4983","11024","29.5082","Eukaryota","Haptophyta","c_000002389714"
"","5220","0.5514","4131","2.4258","Eukaryota","Haptophyta","c_000000507184"
"","5221","0.5327","3193","1.9098","Eukaryota","Haptophyta","c_000000509332"
"","5222","0.5469","6966","23.2406","no-hit","no-hit","c_000002074729"
"","5223","0.5136","5481","15.6889","Eukaryota","Haptophyta","c_000000132180"
"","5224","0.5308","4636","1.4463","no-hit","no-hit","c_000003156823"
"","5225","0.563","4817","1.3963","Eukaryota","Haptophyta","c_000001450062"
"","5226","0.468","4827","1.7035","no-hit","no-hit","c_000000240538"
"","5227","0.5193","5480","3.2411","no-hit","no-hit","c_000000610233"
"","5228","0.5036","6199","1.4773","no-hit","no-hit","c_000001217491"
"","5229","0.5358","5567","1.534","no-hit","no-hit","c_000005027935"
"","5230","0.5276","6366","2.5636","Eukaryota","Haptophyta","c_000001458101"
"","5231","0.5495","5034","10.1236","no-hit","no-hit","c_000003906569"
"","5232","0.6078","4136","1.7872","no-hit","no-hit","c_000005147174"
"","5233","0.6017","3003","1.4639","Eukaryota","Haptophyta","c_000000679203"
"","5234","0.6228","5899","3.671","no-hit","no-hit","c_000003294918"
"","5235","0.5005","16421","2.8945","Eukaryota","Haptophyta","c_000000236902"
"","5236","0.5457","10762","2.3636","no-hit","no-hit","c_000003652956"
"","5237","0.5201","5739","2.2898","Eukaryota","Haptophyta","c_000004017154"
"","5238","0.5909","11468","1.4436","Eukaryota","Eukaryota-undef","c_000004262316"
"","5239","0.5101","3272","1.3313","no-hit","no-hit","c_000004848721"
"","5240","0.5411","13316","4.0999","Eukaryota","Haptophyta","c_000000666439"
"","5241","0.5375","4731","6.0076","Eukaryota","Haptophyta","c_000002803004"
"","5242","0.5518","9087","2.1753","no-hit","no-hit","c_000005021019"
"","5243","0.5588","8162","9.9043","Eukaryota","Haptophyta","c_000002371501"
"","5244","0.4786","3947","1.6585","no-hit","no-hit","c_000003629075"
"","5245","0.5771","5053","0.9701","Eukaryota","Haptophyta","c_000000466445"
"","5246","0.524","4179","2.2635","no-hit","no-hit","c_000004294219"
"","5247","0.5469","2569","9.8968","no-hit","no-hit","c_000000973030"
"","5248","0.5576","4030","4.0323","Eukaryota","Haptophyta","c_000003841047"
"","5249","0.5054","5843","2.0804","Eukaryota","Haptophyta","c_000000945302"
"","5250","0.5634","4315","1.5045","Eukaryota","Haptophyta","c_000002238233"
"","5251","0.4921","2526","13.6409","no-hit","no-hit","c_000005182678"
"","5252","0.5094","2509","2.2555","no-hit","no-hit","c_000003020381"
"","5253","0.5495","4923","3.6618","no-hit","no-hit","c_000001420259"
"","5254","0.518","4728","2.2405","Eukaryota","Haptophyta","c_000004180703"
"","5255","0.5046","3444","1.8827","Eukaryota","Haptophyta","c_000001588630"
"","5256","0.5068","3877","3.0758","no-hit","no-hit","c_000001233193"
"","5257","0.5141","9194","29.5585","Eukaryota","Haptophyta","c_000002884262"
"","5258","0.5126","6348","10.0833","Eukaryota","Haptophyta","c_000000578780"
"","5259","0.5152","7401","1.4657","Eukaryota","Haptophyta","c_000004636477"
"","5260","0.4785","2840","1.4961","no-hit","no-hit","c_000002997692"
"","5262","0.564","5771","1.6675","Eukaryota","Haptophyta","c_000001552171"
"","5263","0.5577","3909","1.3909","no-hit","no-hit","c_000000770661"
"","5264","0.5408","3550","1.7941","no-hit","no-hit","c_000001692520"
"","5265","0.5893","4444","1.4181","no-hit","no-hit","c_000004577189"
"","5266","0.532","5079","3.5013","no-hit","no-hit","c_000003454688"
"","5267","0.591","10543","1.5603","no-hit","no-hit","c_000004603214"
"","5268","0.5803","2866","1.4829","Eukaryota","Haptophyta","c_000004899285"
"","5269","0.482","5552","2.554","no-hit","no-hit","c_000000713856"
"","5270","0.478","5372","3.4747","no-hit","no-hit","c_000000082933"
"","5271","0.5268","5879","1.8294","no-hit","no-hit","c_000001253001"
"","5272","0.5575","3241","1.0404","no-hit","no-hit","c_000003953367"
"","5273","0.5283","9368","1.5628","no-hit","no-hit","c_000002786833"
"","5274","0.5329","5980","10.8333","Eukaryota","Chlorophyta","c_000003043988"
"","5275","0.5223","3320","4.5334","no-hit","no-hit","c_000004765034"
"","5276","0.5637","5978","1.6691","no-hit","no-hit","c_000003930268"
"","5277","0.5615","3827","13.1855","no-hit","no-hit","c_000004125426"
"","5278","0.5303","3502","2.1222","no-hit","no-hit","c_000000469162"
"","5279","0.6064","19215","1.847","Eukaryota","Haptophyta","c_000001833775"
"","5280","0.5672","2701","0.9237","no-hit","no-hit","c_000004675415"
"","5281","0.4783","16435","2.7493","Eukaryota","Haptophyta","c_000000574566"
"","5282","0.4793","6510","2.226","no-hit","no-hit","c_000004509863"
"","5283","0.5267","2979","0.619","no-hit","no-hit","c_000001635058"
"","5284","0.4967","8591","2.1337","no-hit","no-hit","c_000000567718"
"","5285","0.5302","4623","3.0986","Eukaryota","Haptophyta","c_000001050605"
"","5286","0.5582","4160","7.6101","no-hit","no-hit","c_000001414778"
"","5287","0.5175","5471","12.9298","no-hit","no-hit","c_000001796806"
"","5288","0.5338","7581","3.1992","Eukaryota","Haptophyta","c_000003508931"
"","5289","0.5117","11285","54.0511","Eukaryota","Haptophyta","c_000001373055"
"","5290","0.5258","11534","4.2817","Eukaryota","Haptophyta","c_000000130922"
"","5291","0.556","7792","2.1992","Eukaryota","Haptophyta","c_000000466636"
"","5292","0.5398","3225","5.4","Eukaryota","Haptophyta","c_000000547584"
"","5293","0.4909","3170","1.964","no-hit","no-hit","c_000002204247"
"","5294","0.4878","5209","1.8639","no-hit","no-hit","c_000000723180"
"","5295","0.575","15740","1.1886","no-hit","no-hit","c_000001983035"
"","5296","0.5217","3255","1.5653","Eukaryota","Haptophyta","c_000001370651"
"","5297","0.5393","9800","2.1007","Eukaryota","Eukaryota-undef","c_000002283254"
"","5298","0.5164","4551","27.4764","no-hit","no-hit","c_000000843267"
"","5299","0.5829","11710","1.7245","Eukaryota","Haptophyta","c_000001513373"
"","5300","0.5641","4774","1.2118","Eukaryota","Haptophyta","c_000000707977"
"","5301","0.5402","5816","18.0457","no-hit","no-hit","c_000001578078"
"","5302","0.5871","3427","0.5678","Eukaryota","Haptophyta","c_000001613348"
"","5303","0.5101","13694","3.7101","Eukaryota","Chordata","c_000003956095"
"","5304","0.4859","4149","3.3611","no-hit","no-hit","c_000003450493"
"","5305","0.5474","16708","4.6304","Eukaryota","Haptophyta","c_000000644788"
"","5306","0.5898","4627","2.8286","no-hit","no-hit","c_000001637901"
"","5307","0.5368","6265","1.29","Eukaryota","Zoopagomycota","c_000003410296"
"","5308","0.5433","3057","1.6228","no-hit","no-hit","c_000004448728"
"","5309","0.5554","9945","5.9461","no-hit","no-hit","c_000001166299"
"","5310","0.5546","5085","20.2619","no-hit","no-hit","c_000003709782"
"","5311","0.5318","9590","1.7475","Eukaryota","Haptophyta","c_000001245482"
"","5312","0.5064","2832","1.9301","no-hit","no-hit","c_000001757659"
"","5313","0.5486","3817","1.4904","Eukaryota","Haptophyta","c_000005076817"
"","5314","0.5201","9179","2.7069","Eukaryota","Haptophyta","c_000000681041"
"","5315","0.5104","8537","3.618","Eukaryota","Haptophyta","c_000002548436"
"","5316","0.4873","2553","12.3933","no-hit","no-hit","c_000000303162"
"","5317","0.5286","4523","1.3989","Eukaryota","Haptophyta","c_000003327263"
"","5318","0.6118","5852","2.2635","Eukaryota","Haptophyta","c_000002145898"
"","5319","0.5642","4479","1.3938","no-hit","no-hit","c_000000022995"
"","5320","0.5464","2736","4.9064","Eukaryota","Haptophyta","c_000000728880"
"","5321","0.5042","3943","0.9199","no-hit","no-hit","c_000004530069"
"","5322","0.5806","2790","2.7283","Eukaryota","Haptophyta","c_000000833925"
"","5323","0.5093","23907","1.9572","no-hit","no-hit","c_000001380794"
"","5324","0.5149","4677","2.3179","Eukaryota","Haptophyta","c_000002108210"
"","5325","0.5196","6357","10.6168","no-hit","no-hit","c_000000621316"
"","5326","0.488","2504","4.5843","Eukaryota","Haptophyta","c_000000644989"
"","5327","0.4837","2822","2.9458","no-hit","no-hit","c_000002661976"
"","5328","0.5648","6300","18.749","no-hit","no-hit","c_000001005470"
"","5329","0.5757","4080","1.1473","no-hit","no-hit","c_000002569006"
"","5330","0.5278","8887","1.9841","no-hit","no-hit","c_000000808321"
"","5331","0.6166","3811","1.0585","no-hit","no-hit","c_000005392914"
"","5332","0.5455","8563","37.9214","Eukaryota","Haptophyta","c_000000342145"
"","5333","0.5443","7083","1.3707","Eukaryota","Haptophyta","c_000001309076"
"","5334","0.5242","7764","3.0962","Eukaryota","Eukaryota-undef","c_000000094552"
"","5335","0.5548","8590","12.9362","no-hit","no-hit","c_000002457943"
"","5336","0.5071","8306","3.0583","Eukaryota","Haptophyta","c_000003145874"
"","5337","0.5318","6963","1.4682","Eukaryota","Haptophyta","c_000004317116"
"","5338","0.5315","5426","2.375","no-hit","no-hit","c_000001123755"
"","5339","0.5481","4798","2.3026","no-hit","no-hit","c_000001834781"
"","5340","0.5192","8382","1.7262","Eukaryota","Haptophyta","c_000001074373"
"","5341","0.5807","6044","1.2872","no-hit","no-hit","c_000000682733"
"","5342","0.4631","3362","1.6401","no-hit","no-hit","c_000002960526"
"","5343","0.5188","3171","1.7884","Eukaryota","Eukaryota-undef","c_000001075051"
"","5344","0.5473","2695","1.3035","no-hit","no-hit","c_000002324944"
"","5345","0.5115","6418","3.0686","Eukaryota","Haptophyta","c_000002427554"
"","5346","0.548","12486","2.189","no-hit","no-hit","c_000001997488"
"","5347","0.5377","16133","3.5755","Eukaryota","Haptophyta","c_000000395225"
"","5348","0.5971","8042","1.2197","Eukaryota","Haptophyta","c_000001094887"
"","5349","0.5051","5345","6.3903","no-hit","no-hit","c_000000446454"
"","5350","0.5487","2954","9.0139","no-hit","no-hit","c_000003714203"
"","5351","0.5161","5408","2.0157","no-hit","no-hit","c_000000129353"
"","5352","0.4944","7112","1.6572","no-hit","no-hit","c_000004689101"
"","5353","0.5072","2646","5.446","no-hit","no-hit","c_000002233640"
"","5354","0.5318","7931","2.9749","Eukaryota","Haptophyta","c_000001262604"
"","5355","0.5233","6197","2.7988","Eukaryota","Haptophyta","c_000003736643"
"","5356","0.5471","7487","2.5908","no-hit","no-hit","c_000002404745"
"","5357","0.5476","5725","1.7252","no-hit","no-hit","c_000000763318"
"","5358","0.5691","6363","2.8487","no-hit","no-hit","c_000001436076"
"","5359","0.5133","3682","1.1336","Eukaryota","Haptophyta","c_000001326041"
"","5360","0.5639","17862","2.6247","no-hit","no-hit","c_000002035203"
"","5361","0.491","4401","1.5053","no-hit","no-hit","c_000000953526"
"","5362","0.5734","7755","2.4156","no-hit","no-hit","c_000003734091"
"","5363","0.4892","9239","15.1161","Eukaryota","Haptophyta","c_000001172995"
"","5364","0.5425","5377","2.6783","no-hit","no-hit","c_000000832672"
"","5365","0.5102","5051","21.3572","no-hit","no-hit","c_000000696856"
"","5366","0.5531","7091","1.5245","Eukaryota","Haptophyta","c_000001584503"
"","5367","0.5238","6819","1.3503","no-hit","no-hit","c_000004854196"
"","5368","0.5706","4022","2.5017","Eukaryota","Haptophyta","c_000000239795"
"","5369","0.5538","5132","11.258","Eukaryota","Haptophyta","c_000002553922"
"","5370","0.5572","4727","2.9577","no-hit","no-hit","c_000002891323"
"","5371","0.6091","7932","1.0227","Eukaryota","Haptophyta","c_000003887316"
"","5372","0.5598","3537","1.2601","no-hit","no-hit","c_000003704214"
"","5373","0.5188","5756","3.2351","no-hit","no-hit","c_000004164684"
"","5374","0.5586","4085","0.4778","Eukaryota","Haptophyta","c_000002454808"
"","5375","0.5552","2572","7.8612","no-hit","no-hit","c_000000114754"
"","5376","0.5658","5438","1.5303","Eukaryota","Haptophyta","c_000003538216"
"","5377","0.5257","5012","4.6026","no-hit","no-hit","c_000000168811"
"","5378","0.5973","8503","4.5157","Eukaryota","Haptophyta","c_000000769188"
"","5379","0.5801","4106","7.5414","Eukaryota","Haptophyta","c_000001310695"
"","5380","0.5074","4742","5.3087","no-hit","no-hit","c_000000682944"
"","5381","0.5453","11932","2.1651","Eukaryota","Bacillariophyta","c_000002417639"
"","5382","0.5174","4057","1.7523","no-hit","no-hit","c_000001886454"
"","5383","0.5185","6664","3.8091","Eukaryota","Haptophyta","c_000004036582"
"","5384","0.5862","10063","3.0693","Eukaryota","Haptophyta","c_000000373924"
"","5385","0.5142","7046","2.8774","no-hit","no-hit","c_000002711721"
"","5386","0.5537","6707","9.0626","Eukaryota","Haptophyta","c_000000592939"
"","5387","0.5331","5082","1.2507","no-hit","no-hit","c_000001772222"
"","5388","0.5298","9774","2.4902","Eukaryota","Haptophyta","c_000001229606"
"","5389","0.5623","2753","1.9822","Eukaryota","Haptophyta","c_000004646656"
"","5390","0.5402","9160","1.4394","Eukaryota","Haptophyta","c_000001036676"
"","5391","0.5071","4100","1.7007","no-hit","no-hit","c_000004446538"
"","5392","0.4694","3119","1.4332","no-hit","no-hit","c_000002073138"
"","5393","0.4773","3042","0.4957","no-hit","no-hit","c_000002843676"
"","5394","0.5077","6451","5.9583","no-hit","no-hit","c_000001318320"
"","5395","0.5645","3966","1.4728","no-hit","no-hit","c_000001414179"
"","5396","0.5282","3160","0.7668","no-hit","no-hit","c_000003214820"
"","5397","0.5247","5533","2.3022","Eukaryota","Haptophyta","c_000003667915"
"","5398","0.558","6756","1.5796","Eukaryota","Chlorophyta","c_000002519387"
"","5399","0.5215","4899","1.7212","no-hit","no-hit","c_000001409136"
"","5400","0.5268","5941","10.1476","no-hit","no-hit","c_000002891868"
"","5401","0.5212","7510","1.876","Eukaryota","Haptophyta","c_000000037777"
"","5402","0.5414","4191","117.5712","Eukaryota","Haptophyta","c_000002503302"
"","5403","0.4942","6342","5.7576","Eukaryota","Haptophyta","c_000002662370"
"","5404","0.5117","9812","1.9678","Eukaryota","Haptophyta","c_000002450552"
"","5405","0.6035","3246","0.8835","no-hit","no-hit","c_000002730777"
"","5406","0.5486","8481","5.4043","no-hit","no-hit","c_000005053633"
"","5407","0.5551","10121","2.4905","Eukaryota","Haptophyta","c_000001164932"
"","5408","0.5701","11805","1.2567","no-hit","no-hit","c_000002092837"
"","5409","0.4931","6015","1.4833","Eukaryota","Haptophyta","c_000002395793"
"","5410","0.5363","15626","1.7859","Eukaryota","Haptophyta","c_000005131551"
"","5411","0.5951","3717","1.3293","no-hit","no-hit","c_000000294221"
"","5412","0.6057","4020","1.1517","no-hit","no-hit","c_000000245702"
"","5413","0.5237","4411","2.7377","no-hit","no-hit","c_000001985036"
"","5414","0.511","3650","1.7162","no-hit","no-hit","c_000002928753"
"","5415","0.5666","3770","0.9151","Eukaryota","Haptophyta","c_000004222850"
"","5416","0.594","3869","1.3195","no-hit","no-hit","c_000004640620"
"","5417","0.519","7894","4.0429","no-hit","no-hit","c_000000467056"
"","5418","0.5337","6625","42.2171","Eukaryota","Arthropoda","c_000000035029"
"","5419","0.4896","3401","0.985","no-hit","no-hit","c_000002884543"
"","5420","0.5065","12870","3.9092","Eukaryota","Haptophyta","c_000002179416"
"","5421","0.4942","4245","1.7771","no-hit","no-hit","c_000001294446"
"","5422","0.5384","2992","1.9198","no-hit","no-hit","c_000004291498"
"","5423","0.6011","3718","2.9556","Eukaryota","Haptophyta","c_000004674365"
"","5424","0.5765","5126","9.0503","no-hit","no-hit","c_000004333508"
"","5425","0.5042","4209","1.6921","no-hit","no-hit","c_000000977941"
"","5426","0.5136","2533","1.092","no-hit","no-hit","c_000000507068"
"","5427","0.555","10608","2.321","no-hit","no-hit","c_000000278817"
"","5428","0.5445","4105","6.7613","no-hit","no-hit","c_000000292673"
"","5429","0.5199","14717","4.8994","Eukaryota","Haptophyta","c_000004113497"
"","5430","0.5337","6241","1.9526","Eukaryota","Haptophyta","c_000003601688"
"","5431","0.5487","7481","1.9785","Eukaryota","Haptophyta","c_000001235271"
"","5432","0.5024","9473","4.7959","no-hit","no-hit","c_000004402285"
"","5433","0.5827","7928","1.8025","Eukaryota","Haptophyta","c_000000190691"
"","5434","0.5354","3239","2.9685","no-hit","no-hit","c_000000663687"
"","5435","0.5367","6602","7.7349","no-hit","no-hit","c_000001035610"
"","5436","0.5834","3545","11.9399","no-hit","no-hit","c_000001188595"
"","5437","0.5476","19604","4.1379","Eukaryota","Haptophyta","c_000003343941"
"","5438","0.5685","2600","1.5823","no-hit","no-hit","c_000003594308"
"","5439","0.5664","6568","3.8324","Eukaryota","Haptophyta","c_000002188835"
"","5440","0.5355","9571","3.9073","Eukaryota","Haptophyta","c_000003266631"
"","5441","0.5746","4890","1.7665","no-hit","no-hit","c_000003916183"
"","5442","0.5194","6107","1.7742","no-hit","no-hit","c_000002356424"
"","5443","0.5472","8563","2.0417","Eukaryota","Chlorophyta","c_000000823518"
"","5444","0.5933","3381","2.5152","no-hit","no-hit","c_000000865112"
"","5445","0.5328","3005","2.0862","no-hit","no-hit","c_000001631139"
"","5446","0.4844","5716","1.7701","Eukaryota","Haptophyta","c_000001919060"
"","5447","0.5043","8167","2.2661","Eukaryota","Haptophyta","c_000004791023"
"","5448","0.5584","7289","1.6972","Eukaryota","Haptophyta","c_000000809423"
"","5449","0.5282","7099","1.7574","Eukaryota","Eukaryota-undef","c_000001541535"
"","5450","0.5319","3119","1.4373","no-hit","no-hit","c_000000210931"
"","5451","0.498","4920","1.8602","no-hit","no-hit","c_000000603043"
"","5452","0.5672","5760","2.0983","no-hit","no-hit","c_000004480167"
"","5453","0.4969","2747","1.4631","no-hit","no-hit","c_000003408306"
"","5454","0.5243","3481","1.586","no-hit","no-hit","c_000005257086"
"","5455","0.564","10387","1.8916","no-hit","no-hit","c_000000176863"
"","5456","0.463","2916","1.9585","no-hit","no-hit","c_000002762318"
"","5457","0.5526","8676","1.7603","Eukaryota","Haptophyta","c_000000834085"
"","5458","0.5197","8197","1.3632","no-hit","no-hit","c_000004498899"
"","5459","0.6157","3687","1.7665","Eukaryota","Haptophyta","c_000005321456"
"","5460","0.5036","3479","34.5105","no-hit","no-hit","c_000001252221"
"","5461","0.5676","4352","5.4246","no-hit","no-hit","c_000001448177"
"","5462","0.5341","11062","1.9924","Eukaryota","Haptophyta","c_000001041336"
"","5463","0.5371","5843","0.9314","no-hit","no-hit","c_000002044087"
"","5464","0.5093","6183","1.2392","no-hit","no-hit","c_000002658666"
"","5465","0.533","4916","4.4205","no-hit","no-hit","c_000001621485"
"","5466","0.5459","2638","1.4837","no-hit","no-hit","c_000005393924"
"","5467","0.5304","9467","1.6752","Eukaryota","Haptophyta","c_000000891557"
"","5468","0.5173","15031","2.8472","Eukaryota","Haptophyta","c_000003379538"
"","5469","0.5488","5224","1.5335","Eukaryota","Haptophyta","c_000003971994"
"","5470","0.5296","5491","23.7827","no-hit","no-hit","c_000003148044"
"","5471","0.4869","5506","2.014","no-hit","no-hit","c_000000915091"
"","5472","0.5376","7894","2.5996","Eukaryota","Haptophyta","c_000000936560"
"","5473","0.5497","9589","14.1145","Eukaryota","Haptophyta","c_000002269275"
"","5474","0.4896","6465","2.2074","Eukaryota","Haptophyta","c_000000996941"
"","5475","0.5985","4667","4.3583","Eukaryota","Haptophyta","c_000001977308"
"","5476","0.5088","4760","1.8805","no-hit","no-hit","c_000001278172"
"","5477","0.5341","5566","1.7098","no-hit","no-hit","c_000000107741"
"","5478","0.5144","6376","35.3465","no-hit","no-hit","c_000000365338"
"","5479","0.5312","6448","1.969","Eukaryota","Haptophyta","c_000003471197"
"","5480","0.5399","14117","1.8857","Eukaryota","Haptophyta","c_000002925938"
"","5481","0.5564","14600","1.6914","Eukaryota","Haptophyta","c_000002135619"
"","5482","0.4982","4841","2.8228","no-hit","no-hit","c_000004626085"
"","5483","0.5216","7511","1.9321","Eukaryota","Discosea","c_000005006436"
"","5484","0.5415","6172","1.8424","Eukaryota","Chordata","c_000000158210"
"","5485","0.5848","5316","2.8503","no-hit","no-hit","c_000004982352"
